Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
GRBBP*,"Greater Bay Bancorp,",7.25%,No,No,Yes,No,Series B Conv Preferred Stock,N/A,6/30/07
CBL-B*,"CBL &amp; Associates Properties,",8.75%,Yes,No,No,Yes,Cumul Redeem Preferred Stock B,6/14/07,6/28/07
CRY-*,"CryoLife Inc.,",6%,No,No,Yes,No,Convertible Preferred Stock,4/07/08,6/25/07
DBVBP*,"Diablo Valley Bank,",5%,No,Yes,Yes,No,Series A Non-cumul Perp Convertible Preferred Stock,7/01/06,6/20/07
C-F***,"Citigroup, Inc.,",6.365%,No,Yes,No,No,Dep Shares Series F Perpetual Preferred Stock,6/16/07,6/18/07
UDR-B*,"UDR Inc.,",8.60%,Yes,No,No,Yes,Series B Cumulative Redeemable Preferred Stock,5/29/07,5/29/07
WPD*,"Wells Fargo Capital VI,",6.95%,No,No,No,No,Capital Securities,4/15/07,4/19/07
TPK*,Travelers Property Casualty,4.50%,No,No,Yes,No,Conv Junior Subordinated Notes due 4/15/2032,4/18/07,4/18/07
LGASP*,"Louisville Gas &amp; Electric Co.,",5%,Yes,No,No,No,Cumul Preferred Stock,N/A,4/17/07
CFBXN*,"CFB Capital III,",8.125%,Yes,No,No,No,Cumulative Capital Securities,4/15/07,4/15/07
DDR-F*,"Developers Diversified Realty,",8.60%,No,No,No,No,Dep Shares Preferred Shares Class F,3/27/07,4/02/07
NAU*,National Australia Bank Ltd,7.875%,No,No,No,No,ExCaps Preferred ADR,N/A,3/26/07
HME-F*,"Home Properties Inc.,",9.00%,Yes,No,No,Yes,Series F Cumul Red Preferred Stock,3/25/07,3/26/07
CCPCO*,"Capital Crossing Preferred Corp.,",10.25%,No,No,No,No,Non-Cumul Exch Preferred Stock C,5/31/06,3/23/07
CCPCP*,Capital Crossing Preferred Corp.,9 3/4%,No,No,No,No,Non-Cumul Exch Preferred Stock A,2/01/04,3/23/07
ARE-B*,"Alexandria Real Estate Equities,",9.10%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,1/22/07,3/20/07
PPB*,ML Depositor PreferredPlus,7.30%,No,No,No,No,BellSouth Certificates BLS-1,5/04/06,3/07/07
LHO-A*,LaSalle Hotel Properties,10 1/4%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Shares,3/06/07,3/06/07
PSA-U*,"Public Storage Inc.,",7.625%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series U",2/19/07,2/20/07
FRE-D*,"Freddie Mac,",6.14%,No,Yes,No,No,Non-Cumulative Perpetual Preferred Stock,6/30/02,2/12/07
CIBPF*,"Canadian Imperial Bank of Commerce,",$1.50,No,No,No,No,Class A Preferred Shares Series 24,1/31/07,1/31/07
PSB-F*,"PS Business Parks,",8.75%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series F",1/28/07,1/29/07
DELML*,"Delmarva Power &amp; Light,",5.00%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,1/18/07
DELMM*,"Delmarva Power &amp; Light,",4.28%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,1/18/07
DELMN*,"Delmarva Power &amp; Light,",4.20%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,1/18/07
DELMO*,"Delmarva Power &amp; Light,",4.00%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,1/18/07
DELMP*,"Delmarva Power &amp; Light,",3.70%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,1/18/07
DELPP*,"Delmarva Power &amp; Light,",5.00%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,1/18/07
PSA-T*,"Public Storage Inc.,",7.625%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series T",1/18/07,1/18/07
